,92_0_sum,92_0_mean,93_1_sum,93_1_mean,94_2_sum,94_2_mean,95_3_sum,95_3_mean,96_4_sum,96_4_mean,97_5_sum,97_5_mean,98_6_sum,98_6_mean,99_7_sum,99_7_mean,100_8_sum,100_8_mean,101_9_sum,101_9_mean,y
0,1071.0,1.071,19311.0,19.311,40661.0,40.661,2296.2292,2.2962294,240.0,0.24,34.0,0.034,0.0,0.0,184.0,0.184,0.0,0.0,2.0,0.002,1
1,102.0,0.9622642,1933.1667,18.237423,3495.0,32.9717,223.60107,2.1094441,18.0,0.16981132,17.0,0.16037735,0.0,0.0,4.0,0.03773585,0.0,0.0,1.0,0.009433962,0
2,204.0,1.1333333,4253.0,23.627777,7595.0,42.194443,488.30072,2.7127817,27.0,0.15,33.0,0.18333334,0.0,0.0,54.0,0.3,0.0,0.0,0.0,0.0,0
3,4113.0,4.113,11239.073,11.239073,41164.0,41.164,3171.164,3.171164,166.0,0.166,38.0,0.038,0.0,0.0,14.0,0.014,0.0,0.0,6.0,0.006,1
4,128.0,1.0158731,2625.0,20.833334,4449.0,35.309525,308.42123,2.4477875,15.0,0.11904762,29.0,0.23015873,0.0,0.0,24.0,0.1904762,0.0,0.0,0.0,0.0,0
5,684.0,1.159322,4908.1484,8.318895,9583.0,16.242373,1200.9858,2.0355692,26.0,0.044067796,2.0,0.0033898305,0.0,0.0,12.0,0.020338982,0.0,0.0,2.0,0.0033898305,1
6,64.0,0.8101266,1094.0,13.848102,1808.0,22.886076,147.27455,1.8642348,6.0,0.07594936,20.0,0.25316456,0.0,0.0,2.0,0.025316456,0.0,0.0,0.0,0.0,0
7,1135.0,1.135,7132.2275,7.1322274,13038.0,13.038,2032.3481,2.0323482,24.0,0.024,151.0,0.151,0.0,0.0,19.0,0.019,0.0,0.0,4.0,0.004,1
8,70.0,0.8235294,1414.6667,16.643139,2511.0,29.541176,156.40591,1.8400695,11.0,0.12941177,12.0,0.14117648,0.0,0.0,3.0,0.03529412,0.0,0.0,0.0,0.0,0
9,1657.0,1.657,58561.0,58.561,116225.0,116.225,4162.999,4.162999,32.0,0.032,26.0,0.026,0.0,0.0,758.0,0.758,0.0,0.0,0.0,0.0,0
10,4116.0,4.116,10816.705,10.816705,40211.0,40.211,3170.8364,3.1708364,159.0,0.159,39.0,0.039,0.0,0.0,14.0,0.014,0.0,0.0,6.0,0.006,1
11,26.0,0.45614034,1005.8334,17.6462,1699.0,29.807018,71.22883,1.2496285,11.0,0.19298245,13.0,0.22807017,0.0,0.0,4.0,0.07017544,0.0,0.0,1.0,0.01754386,0
12,963.0,0.963,31450.566,31.450567,48448.0,48.448,2742.2227,2.7422225,821.0,0.821,4.0,0.004,0.0,0.0,41.0,0.041,0.0,0.0,3.0,0.003,1
13,1787.0,1.787,9526.17,9.52617,19532.0,19.532,2592.878,2.5928779,98.0,0.098,60.0,0.06,0.0,0.0,28.0,0.028,0.0,0.0,28.0,0.028,1
14,469.0,0.8782772,7845.5,14.691948,11149.0,20.878277,1128.7188,2.1137056,17.0,0.031835206,16.0,0.029962547,0.0,0.0,62.0,0.11610487,0.0,0.0,0.0,0.0,0
15,4079.0,4.079,10656.573,10.656573,39920.0,39.92,3108.6987,3.1086988,160.0,0.16,38.0,0.038,0.0,0.0,14.0,0.014,0.0,0.0,6.0,0.006,1
16,26.0,0.45614034,1015.1666,17.80994,1719.0,30.157894,71.25508,1.2500892,11.0,0.19298245,13.0,0.22807017,0.0,0.0,4.0,0.07017544,0.0,0.0,1.0,0.01754386,0
17,1458.0,1.458,27406.16,27.40616,88254.0,88.254,2866.2148,2.8662148,172.0,0.172,98.0,0.098,2.0,0.002,305.0,0.305,224.0,0.224,0.0,0.0,1
18,748.0,1.2363636,6870.167,11.355648,11589.0,19.155373,1521.4519,2.5147965,48.0,0.07933884,91.0,0.15041323,0.0,0.0,29.0,0.047933884,0.0,0.0,1.0,0.0016528926,1
19,116.0,1.6338028,679.0,9.56338,1319.0,18.577465,225.11429,3.1706238,0.0,0.0,3.0,0.04225352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
20,863.0,0.863,13013.852,13.013851,14582.0,14.582,2625.7097,2.6257098,671.0,0.671,0.0,0.0,0.0,0.0,2.0,0.002,0.0,0.0,2.0,0.002,1
21,1503.0,1.6534654,13814.584,15.197562,33621.0,36.986797,1527.3193,1.6802193,202.0,0.22222222,53.0,0.05830583,0.0,0.0,131.0,0.1441144,0.0,0.0,3.0,0.0033003301,1
