,f0,f1,f2,f3,f4,f5,f6,f7,auc
0,0,0,0,0,0,0,0,0,0.0
2,0,0,0,0,0,0,1,0,0.8827279803395107
1,0,0,0,0,0,0,0,1,0.889711477072966
3,0,0,0,0,0,0,1,1,0.895471440690566
5,0,0,0,0,0,1,0,1,0.9807642636208067
4,0,0,0,0,0,1,0,0,0.9808279619733954
6,0,0,0,0,0,1,1,0,0.9812170029414937
7,0,0,0,0,0,1,1,1,0.9820001865764104
11,0,0,0,0,1,0,1,1,0.9825294513778959
18,0,0,0,1,0,0,1,0,0.9826580141856377
16,0,0,0,1,0,0,0,0,0.9832193468076484
19,0,0,0,1,0,0,1,1,0.9833155502692239
9,0,0,0,0,1,0,0,1,0.9833686079359111
17,0,0,0,1,0,0,0,1,0.9833868282884821
10,0,0,0,0,1,0,1,0,0.9834528588461999
66,0,1,0,0,0,0,1,0,0.9835785063975302
64,0,1,0,0,0,0,0,0,0.9838725100066176
67,0,1,0,0,0,0,1,1,0.9839309608976659
65,0,1,0,0,0,0,0,1,0.9839854761925585
8,0,0,0,0,1,0,0,0,0.9841480017374928
21,0,0,0,1,0,1,0,1,0.985819901289418
12,0,0,0,0,1,1,0,0,0.9858639216612297
14,0,0,0,0,1,1,1,0,0.9859419047702341
22,0,0,0,1,0,1,1,0,0.9861803727446848
23,0,0,0,1,0,1,1,1,0.9862583558536892
20,0,0,0,1,0,1,0,0,0.9863284677703827
15,0,0,0,0,1,1,1,1,0.9864216102127263
13,0,0,0,0,1,1,0,1,0.986941400430875
74,0,1,0,0,1,0,1,0,0.9870766683283628
24,0,0,0,1,1,0,0,0,0.9871040717386297
25,0,0,0,1,1,0,0,1,0.9871284141296649
73,0,1,0,0,1,0,0,1,0.9871912379053299
26,0,0,0,1,1,0,1,0,0.9873230074951244
27,0,0,0,1,1,0,1,1,0.9874117770528508
69,0,1,0,0,0,1,0,1,0.9874903432131372
75,0,1,0,0,1,0,1,1,0.9875355296875137
68,0,1,0,0,0,1,0,0,0.9876015602452315
71,0,1,0,0,0,1,1,1,0.987626048399087
72,0,1,0,0,1,0,0,0,0.9877852213991483
90,0,1,0,1,1,0,1,0,0.9878621841684085
91,0,1,0,1,1,0,1,1,0.9878656824761023
80,0,1,0,1,0,0,0,0,0.9879357943927959
83,0,1,0,1,0,0,1,1,0.9879927876556382
130,1,0,0,0,0,0,1,0,0.9879980351171787
31,0,0,0,1,1,1,1,1,0.9880433673543756
70,0,1,0,0,0,1,1,0,0.9881091063864523
82,0,1,0,1,0,0,1,0,0.9881786352518636
89,0,1,0,1,1,0,0,1,0.9882488929313779
131,1,0,0,0,0,0,1,1,0.9882512251365069
30,0,0,0,1,1,1,1,0,0.9882551607326623
88,0,1,0,1,1,0,0,0,0.9882684251493341
28,0,0,0,1,1,1,0,0,0.9882837302454938
81,0,1,0,1,0,0,0,1,0.9883380997775659
129,1,0,0,0,0,0,0,1,0.9883879506622005
29,0,0,0,1,1,1,0,1,0.9884210388224696
128,1,0,0,0,0,0,0,0,0.9884292015404214
86,0,1,0,1,0,1,1,0,0.9885861880981741
